Country,"Child mortality (IHME, 2018)",Disease Burden,Prevalence of undernourishment (% of population)
Afghanistan,55.77,56925.14842,28.9
Albania,13.99,23013.69149,3.9
Algeria,24.11,24307.37757,3.1
American Samoa,11.5,32093.01739,0
Andean Latin America,20.91,24173.38339,#N/A
Andorra,2.11,17946.37211,0
Angola,71.04,51390.40652,19.4
Antigua and Barbuda,12.81,24391.82232,0
Argentina,12.06,24632.59041,3.4
Armenia,10.55,25136.06442,2.7
Australasia,4.3,19264.88505,#N/A
Australia,4.17,19037.62622,2.5
Austria,3.81,18620.94152,2.5
Azerbaijan,38.24,34532.2885,2.5
Bahamas,13.61,29002.59337,#N/A
Bahrain,7.52,21249.85975,0
Bangladesh,34.26,33089.65902,13.5
Barbados,13.59,23743.57968,4.5
Belarus,7.34,28326.77313,2.5
Belgium,4.12,19465.35103,2.5
Belize,19.67,29790.6398,7.5
Benin,89.8,50235.15776,7.4
Bermuda,5.82,18276.09789,0
Bhutan,30.07,29095.82855,0
Bolivia,32.44,30715.55535,15.6
Bosnia and Herzegovina,7.04,24302.18709,2.5
Botswana,25.14,39611.79166,22.4
Brazil,20.19,27894.03287,2.5
Brunei,9.97,25380.98017,#N/A
Bulgaria,8.56,26541.7295,3.1
Burkina Faso,115.59,57810.07941,18.7
Burundi,86.61,55770.81757,0
Cambodia,34.9,36602.30623,15
Cameroon,78.71,52120.32681,6.4
Canada,5.81,19226.77041,2.5
Cape Verde,23.31,28267.24238,#N/A
Caribbean,38.69,32710.20202,#N/A
Central African Republic,131.1,96470.90952,0
Central Asia,28.73,33621.93314,#N/A
Central Europe,6.28,24009.04948,#N/A
Central Latin America,17.57,25594.22844,#N/A
Central Sub-Saharan Africa,83.1,57225.43841,#N/A
Chad,122.75,63126.53911,37.9
Chile,7.88,21615.70892,3.3
China,13.16,22086.06149,2.5
Colombia,15.61,21427.32949,5.5
Comoros,50.19,38155.36276,0
Congo,59.9,53615.40683,#N/A
Costa Rica,8.8,20790.94881,3.2
Cote d'Ivoire,94.67,54257.12392,19.9
Croatia,4.59,21599.10691,2.5
Cuba,5.71,21017.60215,2.5
Cyprus,3.2,18287.11069,7.1
Czech Republic,3.26,#N/A,2.5
Democratic Republic of Congo,87.31,57690.79906,#N/A
Denmark,4.05,19430.92655,2.5
Djibouti,48.82,39318.84239,0
Dominica,33.36,32138.15106,5.7
Dominican Republic,33.13,30965.80041,6
East Asia,13.24,22200.16793,#N/A
Eastern Europe,8.75,32410.75305,#N/A
Eastern Sub-Saharan Africa,68.32,48239.44158,#N/A
Ecuador,19.01,25477.06962,9.1
Egypt,20.39,35255.0691,#N/A
El Salvador,13.49,29122.3852,9.5
Equatorial Guinea,59.16,46657.38642,0
Eritrea,51.33,57076.4135,0
Estonia,3.18,23217.90529,2.5
Ethiopia,60.58,40653.53054,19.9
Fiji,27.9,39647.6503,3.9
Finland,2.4,19522.23922,2.5
France,4.25,17833.05275,2.5
Gabon,40.51,42486.41431,15.9
Gambia,51.2,46916.55632,#N/A
Georgia,12.34,29519.90393,7.1
Germany,3.88,19580.09987,2.5
Ghana,62.76,45910.45502,7
Greece,4.92,19396.77304,2.5
Greenland,14.79,30038.05351,0
Grenada,15.55,27442.15127,0
Guam,14.78,30104.19932,0
Guatemala,26.83,32309.44587,16.1
Guinea,103.06,59374.29051,0
Guinea-Bissau,80.62,61936.52282,0
Guyana,28.64,37282.71225,6
Haiti,63.54,49023.73148,48.3
High SDI,5.26,19982.11199,#N/A
High-income,5.73,20251.97347,#N/A
High-income North America,7.23,#N/A,#N/A
High-middle SDI,11.54,24713.05239,#N/A
Honduras,15.92,28522.4003,13.8
Hungary,5.23,24252.43755,2.5
Iceland,2.46,17664.74816,2.5
India,40.83,39559.70391,14.2
Indonesia,29.15,32671.55791,8.9
Iran,15.91,26346.11725,#N/A
Iraq,25.65,30139.27147,24
Ireland,3.73,18623.25203,2.5
Israel,3.85,17481.90982,2.5
Italy,3.5,17021.83474,2.5
Jamaica,15.6,28122.29142,9.3
Japan,2.76,16214.10809,2.5
Jordan,14.91,23676.31804,8.7
Kazakhstan,15.82,31859.53952,2.5
Kenya,48.15,45177.7048,23.7
Kiribati,45.25,53679.74059,2.8
Kuwait,8.36,18712.62749,2.5
Kyrgyzstan,22.07,30701.83368,#N/A
Laos,63.44,41789.46525,#N/A
Latin America and the Caribbean,20.4,#N/A,#N/A
Latvia,5.54,27056.60959,2.5
Lebanon,7.81,24477.9035,6.2
Lesotho,76.76,75805.9413,37.9
Liberia,78.9,51219.83147,38.4
Libya,14.6,31617.58059,0
Lithuania,5.17,27524.58702,2.5
Low SDI,67.25,47422.45404,#N/A
Low-middle SDI,55.63,41768.85414,#N/A
Luxembourg,2.37,19136.04283,2.5
Macedonia,10.22,#N/A,#N/A
Madagascar,78.11,51989.75755,41.2
Malawi,70.85,52313.25375,18.6
Malaysia,7.79,25491.77086,3.2
Maldives,8.47,18422.91098,0
Mali,127.42,59694.02344,5.2
Malta,6.56,19286.03977,2.5
Marshall Islands,24.75,47288.21243,0
Mauritania,49.27,36334.26756,11.7
Mauritius,14.74,27765.55255,5.5
Mexico,17.38,26181.88839,6.7
Micronesia,19.48,#N/A,#N/A
Middle SDI,20.68,27609.09748,#N/A
Moldova,16.36,31126.02746,0
Mongolia,29.35,37723.54483,18.8
Montenegro,4.26,23975.9922,2.5
Morocco,21.93,31139.91433,4
Mozambique,79.13,65564.92993,32.9
Myanmar,48.97,39364.42244,13.7
Namibia,43.6,45245.28999,13.3
Nepal,32.46,34963.12018,6
Netherlands,4.27,18716.14512,2.5
New Zealand,4.96,20481.10795,2.5
