Country,"Child mortality (IHME, 2018)",Landmass,Latitude,Longitude,Total Population
Afghanistan,55.77,652860,33.93911,67.709953,36296400
Albania,13.99,27400,41.153332,20.168331,2873457
Algeria,24.11,2381741,28.033886,1.659626,41389198
American Samoa,11.5,200,-14.270972,-170.132217,55620
Andean Latin America,20.91,#N/A,#N/A,#N/A,#N/A
Andorra,2.11,470,42.546245,1.601554,77001
Angola,71.04,1246700,-11.202692,17.873887,29816748
Antigua and Barbuda,12.81,440,17.060816,-61.796428,95426
Argentina,12.06,2736690,-38.416097,-63.616672,44044811
Armenia,10.55,28470,40.069099,45.038189,2944809
Australasia,4.3,#N/A,#N/A,#N/A,#N/A
Australia,4.17,7692020,-25.274398,133.775136,24601860
Austria,3.81,82520,47.516231,14.550072,8797566
Azerbaijan,38.24,82662,40.143105,47.576927,9854033
Bahamas,13.61,#N/A,25.03428,-77.39628,#N/A
Bahrain,7.52,780,25.930414,50.637772,1494074
Bangladesh,34.26,130170,23.684994,90.356331,159670593
Barbados,13.59,430,13.193887,-59.543198,286233
Belarus,7.34,202990,53.709807,27.953389,9498264
Belgium,4.12,30280,50.503887,4.469936,11375158
Belize,19.67,22810,17.189877,-88.49765,375769
Benin,89.8,112760,9.30769,2.315834,11175204
Bermuda,5.82,54,32.321384,-64.75737,63873
Bhutan,30.07,38144,27.514162,90.433601,745568
Bolivia,32.44,1083300,-16.290154,-63.588653,11192854
Bosnia and Herzegovina,7.04,51200,43.915886,17.679076,3351527
Botswana,25.14,566730,-22.328474,24.684866,2205128
Brazil,20.19,8358140,-14.235004,-51.92528,207833831
Brunei,9.97,#N/A,4.535277,114.727669,#N/A
Bulgaria,8.56,108560,42.733883,25.48583,7075947
Burkina Faso,115.59,273600,12.238333,-1.561593,19193284
Burundi,86.61,25680,-3.373056,29.918886,10827024
Cambodia,34.9,176520,12.565679,104.990963,16009414
Cameroon,78.71,472710,7.369722,12.354722,24566045
Canada,5.81,8965590,56.130366,-106.346771,36543321
Cape Verde,23.31,#N/A,16.002082,-24.013197,#N/A
Caribbean,38.69,#N/A,#N/A,#N/A,#N/A
Central African Republic,131.1,622980,6.611111,20.939444,4596028
Central Asia,28.73,#N/A,#N/A,#N/A,#N/A
Central Europe,6.28,#N/A,#N/A,#N/A,#N/A
Central Latin America,17.57,#N/A,#N/A,#N/A,#N/A
Central Sub-Saharan Africa,83.1,#N/A,#N/A,#N/A,#N/A
Chad,122.75,1259200,15.454166,18.732207,15016773
Chile,7.88,743532,-35.675147,-71.542969,18470439
China,13.16,9424700.8,35.86166,104.195397,1386395000
Colombia,15.61,1109500,4.570868,-74.297333,48909844
Comoros,50.19,1861,-11.875001,43.872219,813892
Congo,59.9,#N/A,#N/A,#N/A,#N/A
Costa Rica,8.8,51060,9.748917,-83.753428,4949954
Cote d'Ivoire,94.67,318000,#N/A,#N/A,24437469
Croatia,4.59,56590,45.1,15.2,4124531
Cuba,5.71,103800,21.521757,-77.781167,11339259
Cyprus,3.2,9240,35.126413,33.429859,1179680
Czech Republic,3.26,77210,49.817492,15.472962,10594438
Democratic Republic of Congo,87.31,#N/A,#N/A,#N/A,#N/A
Denmark,4.05,40000,56.26392,9.501785,5764980
Djibouti,48.82,23180,11.825138,42.590275,944097
Dominica,33.36,750,15.414999,-61.370976,71458
Dominican Republic,33.13,48310,18.735693,-70.162651,10513131
East Asia,13.24,#N/A,#N/A,#N/A,#N/A
Eastern Europe,8.75,#N/A,#N/A,#N/A,#N/A
Eastern Sub-Saharan Africa,68.32,#N/A,#N/A,#N/A,#N/A
Ecuador,19.01,248360,-1.831239,-78.183406,16785361
Egypt,20.39,#N/A,26.820553,30.802498,#N/A
El Salvador,13.49,20720,13.794185,-88.89653,6388122
Equatorial Guinea,59.16,28050,1.650801,10.267895,1262001
Eritrea,51.33,101000,15.179384,39.782334,0
Estonia,3.18,43470,58.595272,25.013607,1317384
Ethiopia,60.58,1129279.999,9.145,40.489673,106400024
Fiji,27.9,18270,-16.578193,179.414413,877459
Finland,2.4,303920,61.92411,25.748151,5508214
France,4.25,547557,46.227638,2.213749,66864379
Gabon,40.51,257670,-0.803689,11.609444,2064823
Gambia,51.2,#N/A,13.443182,-15.310139,#N/A
Georgia,12.34,69490,42.315407,43.356892,3728004
Germany,3.88,349370,51.165691,10.451526,82657002
Ghana,62.76,227540,7.946527,-1.023194,29121471
Greece,4.92,128900,39.074208,21.824312,10754679
Greenland,14.79,410450,71.706936,-42.604303,56172
Grenada,15.55,340,12.262776,-61.604171,110874
Guam,14.78,540,13.444304,144.793731,164281
Guatemala,26.83,107160,15.783471,-90.230759,16087418
Guinea,103.06,245720,9.945587,-9.696645,12067539
Guinea-Bissau,80.62,28120,11.803749,-15.180413,1828146
Guyana,28.64,196850,4.860416,-58.93018,775221
Haiti,63.54,27560,18.971187,-72.285215,10982366
,,,#N/A,#N/A,#N/A
,,,#N/A,#N/A,#N/A
,,,#N/A,#N/A,#N/A
,,,#N/A,#N/A,#N/A
Honduras,15.92,111890,15.199999,-86.241905,9429013
Hungary,5.23,91260,47.162494,19.503304,9787966
Iceland,2.46,100250,64.963051,-19.020835,343400
